item_index,step_num,question_type,question,answer,answer_binary,subject,title,num_steps
12,1,question_attr_2,Is there a Bartender wearing glasses?,yes,1,Bartender,,6
12,1,question_attr_3,Is there a Bartender with piercings on ears?,no,0,Bartender,,6
12,1,question_attr_4,Is there a Bartender with brown hair?,no,0,Bartender,,6
12,1,question_count,Are there four Bartenders?,no,0,Bartender,,6
12,1,question_interaction_1,Is the Bartender with wavy hair bowing to the Bartender wearing glasses?,no,0,Bartender,,6
12,1,question_interaction_2,Is the Bartender with piercings on ears shaking hands with the Bartender with brown hair?,no,0,Bartender,,6
12,2,question_attr_1,Is there a Bartender with wavy hair?,yes,1,Bartender,,6
12,2,question_attr_2,Is there a Bartender wearing glasses?,yes,1,Bartender,,6
12,2,question_attr_3,Is there a Bartender with piercings on ears?,no,0,Bartender,,6
12,2,question_attr_4,Is there a Bartender with brown hair?,yes,1,Bartender,,6
12,2,question_count,Are there four Bartenders?,no,0,Bartender,,6
12,2,question_interaction_1,Is the Bartender with wavy hair bowing to the Bartender wearing glasses?,yes,1,Bartender,,6
12,2,question_interaction_2,Is the Bartender with piercings on ears shaking hands with the Bartender with brown hair?,no,0,Bartender,,6
12,3,question_attr_1,Is there a Bartender with wavy hair?,yes,1,Bartender,,6
12,3,question_attr_2,Is there a Bartender wearing glasses?,yes,1,Bartender,,6
12,3,question_attr_3,Is there a Bartender with piercings on ears?,no,0,Bartender,,6
12,3,question_attr_4,Is there a Bartender with brown hair?,no,0,Bartender,,6
12,3,question_count,Are there four Bartenders?,no,0,Bartender,,6
12,3,question_interaction_1,Is the Bartender with wavy hair bowing to the Bartender wearing glasses?,yes,1,Bartender,,6
12,3,question_interaction_2,Is the Bartender with piercings on ears shaking hands with the Bartender with brown hair?,no,0,Bartender,,6
12,4,question_attr_1,Is there a Bartender with wavy hair?,yes,1,Bartender,,6
12,4,question_attr_2,Is there a Bartender wearing glasses?,yes,1,Bartender,,6
12,4,question_attr_3,Is there a Bartender with piercings on ears?,no,0,Bartender,,6
12,4,question_attr_4,Is there a Bartender with brown hair?,yes,1,Bartender,,6
12,4,question_count,Are there four Bartenders?,no,0,Bartender,,6
12,4,question_interaction_1,Is the Bartender with wavy hair bowing to the Bartender wearing glasses?,yes,1,Bartender,,6
12,4,question_interaction_2,Is the Bartender with piercings on ears shaking hands with the Bartender with brown hair?,no,0,Bartender,,6
13,1,question_attr_1,Is there a Housekeeping Staff with tote bag in hand?,no,0,Housekeeping Staff,,6
13,1,question_attr_2,Is there a Housekeeping Staff with mustache?,yes,1,Housekeeping Staff,,6
13,1,question_attr_3,Is there a Housekeeping Staff with water bottle in hand?,no,0,Housekeeping Staff,,6
13,1,question_attr_4,Is there a Housekeeping Staff wearing headphones?,yes,1,Housekeeping Staff,,6
13,1,question_count,Are there four Housekeeping Staff?,no,0,Housekeeping Staff,,6
13,1,question_interaction_1,Is the Housekeeping Staff with tote bag in hand whispering a secret into the other's ear with the Housekeeping Staff with mustache?,no,0,Housekeeping Staff,,6
13,1,question_interaction_2,Is the Housekeeping Staff with water bottle in hand looking at the same phone or tablet screen with the Housekeeping Staff wearing headphones?,yes,1,Housekeeping Staff,,6
13,2,question_attr_1,Is there a Housekeeping Staff with tote bag in hand?,yes,1,Housekeeping Staff,,6
13,2,question_attr_2,Is there a Housekeeping Staff with mustache?,error,-1,Housekeeping Staff,,6
13,2,question_attr_3,Is there a Housekeeping Staff with water bottle in hand?,no,0,Housekeeping Staff,,6
13,2,question_attr_4,Is there a Housekeeping Staff wearing headphones?,no,0,Housekeeping Staff,,6
13,2,question_count,Are there four Housekeeping Staff?,no,0,Housekeeping Staff,,6
13,2,question_interaction_1,Is the Housekeeping Staff with tote bag in hand whispering a secret into the other's ear with the Housekeeping Staff with mustache?,no,0,Housekeeping Staff,,6
13,2,question_interaction_2,Is the Housekeeping Staff with water bottle in hand looking at the same phone or tablet screen with the Housekeeping Staff wearing headphones?,yes,1,Housekeeping Staff,,6
13,3,question_attr_1,Is there a Housekeeping Staff with tote bag in hand?,yes,1,Housekeeping Staff,,6
13,3,question_attr_2,Is there a Housekeeping Staff with mustache?,yes,1,Housekeeping Staff,,6
13,3,question_attr_3,Is there a Housekeeping Staff with water bottle in hand?,yes,1,Housekeeping Staff,,6
13,3,question_attr_4,Is there a Housekeeping Staff wearing headphones?,yes,1,Housekeeping Staff,,6
13,3,question_count,Are there four Housekeeping Staff?,no,0,Housekeeping Staff,,6
13,3,question_interaction_1,Is the Housekeeping Staff with tote bag in hand whispering a secret into the other's ear with the Housekeeping Staff with mustache?,no,0,Housekeeping Staff,,6
13,3,question_interaction_2,Is the Housekeeping Staff with water bottle in hand looking at the same phone or tablet screen with the Housekeeping Staff wearing headphones?,yes,1,Housekeeping Staff,,6
13,4,question_attr_1,Is there a Housekeeping Staff with tote bag in hand?,yes,1,Housekeeping Staff,,6
13,4,question_attr_2,Is there a Housekeeping Staff with mustache?,yes,1,Housekeeping Staff,,6
13,4,question_attr_3,Is there a Housekeeping Staff with water bottle in hand?,yes,1,Housekeeping Staff,,6
13,4,question_attr_4,Is there a Housekeeping Staff wearing headphones?,yes,1,Housekeeping Staff,,6
13,4,question_count,Are there four Housekeeping Staff?,no,0,Housekeeping Staff,,6
13,4,question_interaction_1,Is the Housekeeping Staff with tote bag in hand whispering a secret into the other's ear with the Housekeeping Staff with mustache?,yes,1,Housekeeping Staff,,6
13,4,question_interaction_2,Is the Housekeeping Staff with water bottle in hand looking at the same phone or tablet screen with the Housekeeping Staff wearing headphones?,yes,1,Housekeeping Staff,,6
14,1,question_attr_1,Is there a Janitor wearing necklace?,yes,1,Janitor,,6
14,1,question_attr_2,Is there a Janitor is confused?,no,0,Janitor,,6
14,1,question_attr_3,Is there a Janitor wearing latex gloves?,no,0,Janitor,,6
14,1,question_attr_4,Is there a Janitor with camera in hand?,no,0,Janitor,,6
14,1,question_count,Are there four Janitors?,no,0,Janitor,,6
14,1,question_interaction_1,Is the Janitor wearing necklace exchanging business cards with the Janitor is confused?,no,0,Janitor,,6
14,1,question_interaction_2,Is the Janitor wearing latex gloves one person pointing an accusatory finger at the other with the Janitor with camera in hand?,no,0,Janitor,,6
14,2,question_attr_1,Is there a Janitor wearing necklace?,yes,1,Janitor,,6
14,2,question_attr_2,Is there a Janitor is confused?,no,0,Janitor,,6
14,2,question_attr_3,Is there a Janitor wearing latex gloves?,no,0,Janitor,,6
14,2,question_attr_4,Is there a Janitor with camera in hand?,no,0,Janitor,,6
14,2,question_count,Are there four Janitors?,no,0,Janitor,,6
14,2,question_interaction_1,Is the Janitor wearing necklace exchanging business cards with the Janitor is confused?,no,0,Janitor,,6
14,2,question_interaction_2,Is the Janitor wearing latex gloves one person pointing an accusatory finger at the other with the Janitor with camera in hand?,no,0,Janitor,,6
14,3,question_attr_1,Is there a Janitor wearing necklace?,yes,1,Janitor,,6
14,3,question_attr_2,Is there a Janitor is confused?,no,0,Janitor,,6
14,3,question_attr_3,Is there a Janitor wearing latex gloves?,yes,1,Janitor,,6
14,3,question_attr_4,Is there a Janitor with camera in hand?,yes,1,Janitor,,6
14,3,question_count,Are there four Janitors?,no,0,Janitor,,6
14,3,question_interaction_1,Is the Janitor wearing necklace exchanging business cards with the Janitor is confused?,no,0,Janitor,,6
14,3,question_interaction_2,Is the Janitor wearing latex gloves one person pointing an accusatory finger at the other with the Janitor with camera in hand?,yes,1,Janitor,,6
14,4,question_attr_1,Is there a Janitor wearing necklace?,yes,1,Janitor,,6
14,4,question_attr_2,Is there a Janitor is confused?,no,0,Janitor,,6
14,4,question_attr_3,Is there a Janitor wearing latex gloves?,yes,1,Janitor,,6
14,4,question_attr_4,Is there a Janitor with camera in hand?,yes,1,Janitor,,6
14,4,question_count,Are there four Janitors?,no,0,Janitor,,6
14,4,question_interaction_1,Is the Janitor wearing necklace exchanging business cards with the Janitor is confused?,no,0,Janitor,,6
14,4,question_interaction_2,Is the Janitor wearing latex gloves one person pointing an accusatory finger at the other with the Janitor with camera in hand?,yes,1,Janitor,,6
18,1,question_attr_1,Is there a Housekeeping Staff wearing sunglasses?,yes,1,Housekeeping Staff,,6
18,1,question_attr_2,Is there a Housekeeping Staff wearing Winter gloves?,no,0,Housekeeping Staff,,6
18,1,question_attr_3,Is there a Housekeeping Staff with camera in hand?,yes,1,Housekeeping Staff,,6
18,1,question_attr_4,Is there a Housekeeping Staff with Black hair?,no,0,Housekeeping Staff,,6
18,1,question_count,Are there four Housekeeping Staff?,no,0,Housekeeping Staff,,6
18,1,question_interaction_1,Is the Housekeeping Staff wearing sunglasses bowing to each other with the Housekeeping Staff wearing Winter gloves?,no,0,Housekeeping Staff,,6
18,1,question_interaction_2,Is the Housekeeping Staff with camera in hand waving to each other with the Housekeeping Staff with Black hair?,no,0,Housekeeping Staff,,6
18,2,question_attr_1,Is there a Housekeeping Staff wearing sunglasses?,yes,1,Housekeeping Staff,,6
18,2,question_attr_2,Is there a Housekeeping Staff wearing Winter gloves?,no,0,Housekeeping Staff,,6
18,2,question_attr_3,Is there a Housekeeping Staff with camera in hand?,no,0,Housekeeping Staff,,6
18,2,question_attr_4,Is there a Housekeeping Staff with Black hair?,yes,1,Housekeeping Staff,,6
18,2,question_count,Are there four Housekeeping Staff?,no,0,Housekeeping Staff,,6
18,2,question_interaction_1,Is the Housekeeping Staff wearing sunglasses bowing to each other with the Housekeeping Staff wearing Winter gloves?,no,0,Housekeeping Staff,,6
18,2,question_interaction_2,Is the Housekeeping Staff with camera in hand waving to each other with the Housekeeping Staff with Black hair?,no,0,Housekeeping Staff,,6
18,3,question_attr_1,Is there a Housekeeping Staff wearing sunglasses?,yes,1,Housekeeping Staff,,6
18,3,question_attr_2,Is there a Housekeeping Staff wearing Winter gloves?,no,0,Housekeeping Staff,,6
18,3,question_attr_3,Is there a Housekeeping Staff with camera in hand?,yes,1,Housekeeping Staff,,6
18,3,question_attr_4,Is there a Housekeeping Staff with Black hair?,yes,1,Housekeeping Staff,,6
18,3,question_count,Are there four Housekeeping Staff?,yes,1,Housekeeping Staff,,6
18,3,question_interaction_1,Is the Housekeeping Staff wearing sunglasses bowing to each other with the Housekeeping Staff wearing Winter gloves?,no,0,Housekeeping Staff,,6
18,3,question_interaction_2,Is the Housekeeping Staff with camera in hand waving to each other with the Housekeeping Staff with Black hair?,yes,1,Housekeeping Staff,,6
19,1,question_attr_1,Is there an Airline Pilot with tattoos on ankle?,no,0,Airline Pilot,,6
19,1,question_attr_2,Is there an Airline Pilot with coffee cup in hand?,no,0,Airline Pilot,,6
19,1,question_attr_3,Is there an Airline Pilot with bun hair?,no,0,Airline Pilot,,6
19,1,question_attr_4,Is there an Airline Pilot with tablet in hand?,no,0,Airline Pilot,,6
19,1,question_count,Are there four Airline Pilots?,no,0,Airline Pilot,,6
19,1,question_interaction_1,Is the Airline Pilot with tattoos on ankle pointing an accusatory finger at the Airline Pilot with coffee cup in hand?,yes,1,Airline Pilot,,6
19,1,question_interaction_2,Is the Airline Pilot with bun hair crossing their arms and glaring while the Airline Pilot with tablet in hand tries to talk?,no,0,Airline Pilot,,6
19,2,question_attr_1,Is there an Airline Pilot with tattoos on ankle?,no,0,Airline Pilot,,6
19,2,question_attr_2,Is there an Airline Pilot with coffee cup in hand?,yes,1,Airline Pilot,,6
19,2,question_attr_3,Is there an Airline Pilot with bun hair?,no,0,Airline Pilot,,6
19,2,question_attr_4,Is there an Airline Pilot with tablet in hand?,no,0,Airline Pilot,,6
19,2,question_count,Are there four Airline Pilots?,no,0,Airline Pilot,,6
19,2,question_interaction_1,Is the Airline Pilot with tattoos on ankle pointing an accusatory finger at the Airline Pilot with coffee cup in hand?,no,0,Airline Pilot,,6
19,2,question_interaction_2,Is the Airline Pilot with bun hair crossing their arms and glaring while the Airline Pilot with tablet in hand tries to talk?,no,0,Airline Pilot,,6
19,3,question_attr_1,Is there an Airline Pilot with tattoos on ankle?,no,0,Airline Pilot,,6
19,3,question_attr_2,Is there an Airline Pilot with coffee cup in hand?,no,0,Airline Pilot,,6
19,3,question_attr_3,Is there an Airline Pilot with bun hair?,yes,1,Airline Pilot,,6
19,3,question_attr_4,Is there an Airline Pilot with tablet in hand?,yes,1,Airline Pilot,,6
19,3,question_count,Are there four Airline Pilots?,no,0,Airline Pilot,,6
19,3,question_interaction_1,Is the Airline Pilot with tattoos on ankle pointing an accusatory finger at the Airline Pilot with coffee cup in hand?,no,0,Airline Pilot,,6
19,3,question_interaction_2,Is the Airline Pilot with bun hair crossing their arms and glaring while the Airline Pilot with tablet in hand tries to talk?,yes,1,Airline Pilot,,6
19,4,question_attr_1,Is there an Airline Pilot with tattoos on ankle?,no,0,Airline Pilot,,6
19,4,question_attr_2,Is there an Airline Pilot with coffee cup in hand?,no,0,Airline Pilot,,6
19,4,question_attr_3,Is there an Airline Pilot with bun hair?,yes,1,Airline Pilot,,6
19,4,question_attr_4,Is there an Airline Pilot with tablet in hand?,yes,1,Airline Pilot,,6
19,4,question_count,Are there four Airline Pilots?,no,0,Airline Pilot,,6
19,4,question_interaction_1,Is the Airline Pilot with tattoos on ankle pointing an accusatory finger at the Airline Pilot with coffee cup in hand?,no,0,Airline Pilot,,6
19,4,question_interaction_2,Is the Airline Pilot with bun hair crossing their arms and glaring while the Airline Pilot with tablet in hand tries to talk?,yes,1,Airline Pilot,,6
20,1,question_attr_1,Is there an Airman with a beard?,no,0,Airman (Air Force),,6
20,1,question_attr_2,Is there an Airman with purse in hand?,no,0,Airman (Air Force),,6
20,1,question_attr_3,Is there an Airman with white hair?,no,0,Airman (Air Force),,6
20,1,question_attr_4,Is there an Airman wearing glasses?,yes,1,Airman (Air Force),,6
20,1,question_count,Are there four Airmen?,no,0,Airman (Air Force),,6
20,1,question_interaction_1,Is the Airman with a beard high-fiving with the Airman with purse in hand?,yes,1,Airman (Air Force),,6
20,1,question_interaction_2,Is the Airman with white hair taking a pulse with the Airman wearing glasses?,no,0,Airman (Air Force),,6
20,2,question_attr_1,Is there an Airman with a beard?,yes,1,Airman (Air Force),,6
20,2,question_attr_2,Is there an Airman with purse in hand?,no,0,Airman (Air Force),,6
20,2,question_attr_3,Is there an Airman with white hair?,no,0,Airman (Air Force),,6
20,2,question_attr_4,Is there an Airman wearing glasses?,no,0,Airman (Air Force),,6
20,2,question_count,Are there four Airmen?,no,0,Airman (Air Force),,6
20,2,question_interaction_1,Is the Airman with a beard high-fiving with the Airman with purse in hand?,yes,1,Airman (Air Force),,6
20,2,question_interaction_2,Is the Airman with white hair taking a pulse with the Airman wearing glasses?,no,0,Airman (Air Force),,6
20,3,question_attr_1,Is there an Airman with a beard?,yes,1,Airman (Air Force),,6
20,3,question_attr_2,Is there an Airman with purse in hand?,no,0,Airman (Air Force),,6
20,3,question_attr_3,Is there an Airman with white hair?,yes,1,Airman (Air Force),,6
20,3,question_attr_4,Is there an Airman wearing glasses?,yes,1,Airman (Air Force),,6
20,3,question_count,Are there four Airmen?,yes,1,Airman (Air Force),,6
20,3,question_interaction_1,Is the Airman with a beard high-fiving with the Airman with purse in hand?,yes,1,Airman (Air Force),,6
20,3,question_interaction_2,Is the Airman with white hair taking a pulse with the Airman wearing glasses?,no,0,Airman (Air Force),,6
20,4,question_attr_1,Is there an Airman with a beard?,yes,1,Airman (Air Force),,6
20,4,question_attr_2,Is there an Airman with purse in hand?,no,0,Airman (Air Force),,6
20,4,question_attr_3,Is there an Airman with white hair?,yes,1,Airman (Air Force),,6
20,4,question_attr_4,Is there an Airman wearing glasses?,yes,1,Airman (Air Force),,6
20,4,question_count,Are there four Airmen?,yes,1,Airman (Air Force),,6
20,4,question_interaction_1,Is the Airman with a beard high-fiving with the Airman with purse in hand?,yes,1,Airman (Air Force),,6
20,4,question_interaction_2,Is the Airman with white hair taking a pulse with the Airman wearing glasses?,no,0,Airman (Air Force),,6
21,1,question_attr_1,Is there a Hotel Front Desk Clerk with coffee cup in hand?,no,0,Hotel Front Desk Clerk,,6
21,1,question_attr_2,Is there a Hotel Front Desk Clerk with brown hair?,no,0,Hotel Front Desk Clerk,,6
21,1,question_attr_3,Is there a Hotel Front Desk Clerk with goatee?,no,0,Hotel Front Desk Clerk,,6
21,1,question_attr_4,Is there a Hotel Front Desk Clerk wearing sunglasses?,yes,1,Hotel Front Desk Clerk,,6
21,1,question_count,Are there four Hotel Front Desk Clerks?,no,0,Hotel Front Desk Clerk,,6
21,1,question_interaction_1,Is the Hotel Front Desk Clerk with coffee cup in hand looking at the same phone or tablet screen with the Hotel Front Desk Clerk with brown hair?,no,0,Hotel Front Desk Clerk,,6
21,1,question_interaction_2,Is the Hotel Front Desk Clerk with goatee one person turning their back on the other while they are speaking with the Hotel Front Desk Clerk wearing sunglasses?,no,0,Hotel Front Desk Clerk,,6
21,2,question_attr_1,Is there a Hotel Front Desk Clerk with coffee cup in hand?,no,0,Hotel Front Desk Clerk,,6
21,2,question_attr_2,Is there a Hotel Front Desk Clerk with brown hair?,yes,1,Hotel Front Desk Clerk,,6
21,2,question_attr_3,Is there a Hotel Front Desk Clerk with goatee?,no,0,Hotel Front Desk Clerk,,6
21,2,question_attr_4,Is there a Hotel Front Desk Clerk wearing sunglasses?,no,0,Hotel Front Desk Clerk,,6
21,2,question_count,Are there four Hotel Front Desk Clerks?,no,0,Hotel Front Desk Clerk,,6
21,2,question_interaction_1,Is the Hotel Front Desk Clerk with coffee cup in hand looking at the same phone or tablet screen with the Hotel Front Desk Clerk with brown hair?,yes,1,Hotel Front Desk Clerk,,6
21,2,question_interaction_2,Is the Hotel Front Desk Clerk with goatee one person turning their back on the other while they are speaking with the Hotel Front Desk Clerk wearing sunglasses?,no,0,Hotel Front Desk Clerk,,6
21,3,question_attr_1,Is there a Hotel Front Desk Clerk with coffee cup in hand?,no,0,Hotel Front Desk Clerk,,6
21,3,question_attr_2,Is there a Hotel Front Desk Clerk with brown hair?,yes,1,Hotel Front Desk Clerk,,6
21,3,question_attr_3,Is there a Hotel Front Desk Clerk with goatee?,no,0,Hotel Front Desk Clerk,,6
21,3,question_attr_4,Is there a Hotel Front Desk Clerk wearing sunglasses?,no,0,Hotel Front Desk Clerk,,6
21,3,question_count,Are there four Hotel Front Desk Clerks?,no,0,Hotel Front Desk Clerk,,6
21,3,question_interaction_1,Is the Hotel Front Desk Clerk with coffee cup in hand looking at the same phone or tablet screen with the Hotel Front Desk Clerk with brown hair?,yes,1,Hotel Front Desk Clerk,,6
21,3,question_interaction_2,Is the Hotel Front Desk Clerk with goatee one person turning their back on the other while they are speaking with the Hotel Front Desk Clerk wearing sunglasses?,no,0,Hotel Front Desk Clerk,,6
21,4,question_attr_1,Is there a Hotel Front Desk Clerk with coffee cup in hand?,no,0,Hotel Front Desk Clerk,,6
21,4,question_attr_2,Is there a Hotel Front Desk Clerk with brown hair?,no,0,Hotel Front Desk Clerk,,6
21,4,question_attr_3,Is there a Hotel Front Desk Clerk with goatee?,no,0,Hotel Front Desk Clerk,,6
21,4,question_attr_4,Is there a Hotel Front Desk Clerk wearing sunglasses?,no,0,Hotel Front Desk Clerk,,6
21,4,question_count,Are there four Hotel Front Desk Clerks?,no,0,Hotel Front Desk Clerk,,6
21,4,question_interaction_1,Is the Hotel Front Desk Clerk with coffee cup in hand looking at the same phone or tablet screen with the Hotel Front Desk Clerk with brown hair?,yes,1,Hotel Front Desk Clerk,,6
21,4,question_interaction_2,Is the Hotel Front Desk Clerk with goatee one person turning their back on the other while they are speaking with the Hotel Front Desk Clerk wearing sunglasses?,no,0,Hotel Front Desk Clerk,,6
23,1,question_attr_1,Is there a Plumber with water bottle in hand?,no,0,Plumber,,6
23,1,question_attr_2,Is there a Plumber wearing latex gloves?,no,0,Plumber,,6
23,1,question_attr_3,Is there a Plumber is surprised?,yes,1,Plumber,,6
23,1,question_attr_4,Is there a Plumber wearing necklace?,no,0,Plumber,,6
23,1,question_count,Are there four Plumbers?,no,0,Plumber,,6
23,1,question_interaction_1,Is the Plumber with water bottle in hand pouring the other a cup of tea or coffee with the Plumber wearing latex gloves?,no,0,Plumber,,6
23,1,question_interaction_2,Is the Plumber is surprised waving to each other with the Plumber wearing necklace?,no,0,Plumber,,6
23,2,question_attr_1,Is there a Plumber with water bottle in hand?,no,0,Plumber,,6
23,2,question_attr_2,Is there a Plumber wearing latex gloves?,yes,1,Plumber,,6
23,2,question_attr_3,Is there a Plumber is surprised?,no,0,Plumber,,6
23,2,question_attr_4,Is there a Plumber wearing necklace?,no,0,Plumber,,6
23,2,question_count,Are there four Plumbers?,no,0,Plumber,,6
23,2,question_interaction_1,Is the Plumber with water bottle in hand pouring the other a cup of tea or coffee with the Plumber wearing latex gloves?,no,0,Plumber,,6
23,2,question_interaction_2,Is the Plumber is surprised waving to each other with the Plumber wearing necklace?,no,0,Plumber,,6
23,3,question_attr_1,Is there a Plumber with water bottle in hand?,no,0,Plumber,,6
23,3,question_attr_2,Is there a Plumber wearing latex gloves?,yes,1,Plumber,,6
23,3,question_attr_3,Is there a Plumber is surprised?,yes,1,Plumber,,6
23,3,question_attr_4,Is there a Plumber wearing necklace?,yes,1,Plumber,,6
23,3,question_count,Are there four Plumbers?,no,0,Plumber,,6
23,3,question_interaction_1,Is the Plumber with water bottle in hand pouring the other a cup of tea or coffee with the Plumber wearing latex gloves?,no,0,Plumber,,6
23,3,question_interaction_2,Is the Plumber is surprised waving to each other with the Plumber wearing necklace?,no,0,Plumber,,6
23,4,question_attr_1,Is there a Plumber with water bottle in hand?,no,0,Plumber,,6
23,4,question_attr_2,Is there a Plumber wearing latex gloves?,yes,1,Plumber,,6
23,4,question_attr_3,Is there a Plumber is surprised?,yes,1,Plumber,,6
23,4,question_attr_4,Is there a Plumber wearing necklace?,yes,1,Plumber,,6
23,4,question_count,Are there four Plumbers?,no,0,Plumber,,6
23,4,question_interaction_1,Is the Plumber with water bottle in hand pouring the other a cup of tea or coffee with the Plumber wearing latex gloves?,no,0,Plumber,,6
23,4,question_interaction_2,Is the Plumber is surprised waving to each other with the Plumber wearing necklace?,no,0,Plumber,,6
27,1,question_attr_1,Is there a Sailor wearing rings?,yes,1,Sailor (Navy),,6
27,1,question_attr_2,Is there a Sailor is clean-shaven?,no,0,Sailor (Navy),,6
27,1,question_attr_3,Is there a Sailor with suitcase in hand?,no,0,Sailor (Navy),,6
27,1,question_attr_4,Is there a Sailor wearing nose piercing?,no,0,Sailor (Navy),,6
27,1,question_count,Are there four Sailors?,no,0,Sailor (Navy),,6
27,1,question_interaction_1,Is the Sailor wearing rings whispering a secret into the other's ear with the Sailor is clean-shaven?,no,0,Sailor (Navy),,6
27,1,question_interaction_2,Is the Sailor with suitcase in hand shaking hands with the Sailor wearing nose piercing?,no,0,Sailor (Navy),,6
27,2,question_attr_1,Is there a Sailor wearing rings?,yes,1,Sailor (Navy),,6
27,2,question_attr_2,Is there a Sailor is clean-shaven?,no,0,Sailor (Navy),,6
27,2,question_attr_3,Is there a Sailor with suitcase in hand?,no,0,Sailor (Navy),,6
27,2,question_attr_4,Is there a Sailor wearing nose piercing?,no,0,Sailor (Navy),,6
27,2,question_count,Are there four Sailors?,no,0,Sailor (Navy),,6
27,2,question_interaction_1,Is the Sailor wearing rings whispering a secret into the other's ear with the Sailor is clean-shaven?,no,0,Sailor (Navy),,6
27,2,question_interaction_2,Is the Sailor with suitcase in hand shaking hands with the Sailor wearing nose piercing?,no,0,Sailor (Navy),,6
27,3,question_attr_1,Is there a Sailor wearing rings?,yes,1,Sailor (Navy),,6
27,3,question_attr_2,Is there a Sailor is clean-shaven?,yes,1,Sailor (Navy),,6
27,3,question_attr_3,Is there a Sailor with suitcase in hand?,yes,1,Sailor (Navy),,6
27,3,question_attr_4,Is there a Sailor wearing nose piercing?,no,0,Sailor (Navy),,6
27,3,question_count,Are there four Sailors?,no,0,Sailor (Navy),,6
27,3,question_interaction_1,Is the Sailor wearing rings whispering a secret into the other's ear with the Sailor is clean-shaven?,no,0,Sailor (Navy),,6
27,3,question_interaction_2,Is the Sailor with suitcase in hand shaking hands with the Sailor wearing nose piercing?,no,0,Sailor (Navy),,6
27,4,question_attr_1,Is there a Sailor wearing rings?,yes,1,Sailor (Navy),,6
27,4,question_attr_2,Is there a Sailor is clean-shaven?,yes,1,Sailor (Navy),,6
27,4,question_attr_3,Is there a Sailor with suitcase in hand?,yes,1,Sailor (Navy),,6
27,4,question_attr_4,Is there a Sailor wearing nose piercing?,no,0,Sailor (Navy),,6
27,4,question_count,Are there four Sailors?,yes,1,Sailor (Navy),,6
27,4,question_interaction_1,Is the Sailor wearing rings whispering a secret into the other's ear with the Sailor is clean-shaven?,yes,1,Sailor (Navy),,6
27,4,question_interaction_2,Is the Sailor with suitcase in hand shaking hands with the Sailor wearing nose piercing?,no,0,Sailor (Navy),,6
29,1,question_attr_1,Is there a Barista with red hair?,no,0,Barista,,6
29,1,question_attr_2,Is there a Barista with grocery bag in hand?,no,0,Barista,,6
