condition,chain_key,prompt_id,seed,n,attribute,subject,claimed_step,true_step,iou
attn_scrambled_samechain,p6_s7,6,7,4,red apron,barista,1,1,0.07688053996909816
attn_scrambled_crosschain,p6_s7,6,7,4,red apron,barista,1,1,0.05035058218852121
attn_scrambled_sameattr,p6_s7,6,7,4,red apron,barista,1,1,0.037789376342063606
real,p6_s7,6,7,4,yellow helmet,cyclist,2,2,0.0
shuffled,p6_s7,6,7,4,yellow helmet,cyclist,1,2,0.0
shuffled,p6_s7,6,7,4,yellow helmet,cyclist,3,2,0.0
shuffled,p6_s7,6,7,4,yellow helmet,cyclist,4,2,0.0
substituted,p6_s7,6,7,4,book,cyclist,2,2,0.0
attn_scrambled_samechain,p6_s7,6,7,4,yellow helmet,cyclist,2,2,0.0
attn_scrambled_crosschain,p6_s7,6,7,4,yellow helmet,cyclist,2,2,0.0
attn_scrambled_sameattr,p6_s7,6,7,4,yellow helmet,cyclist,2,2,0.0
real,p6_s7,6,7,4,white hat,chef,3,3,0.0
shuffled,p6_s7,6,7,4,white hat,chef,1,3,0.0
shuffled,p6_s7,6,7,4,white hat,chef,2,3,0.0
shuffled,p6_s7,6,7,4,white hat,chef,4,3,0.0
substituted,p6_s7,6,7,4,blue gloves,chef,3,3,0.0
attn_scrambled_samechain,p6_s7,6,7,4,white hat,chef,3,3,0.0
attn_scrambled_crosschain,p6_s7,6,7,4,white hat,chef,3,3,0.0
attn_scrambled_sameattr,p6_s7,6,7,4,white hat,chef,3,3,0.0
real,p6_s7,6,7,4,shovel,farmer,4,4,0.0
shuffled,p6_s7,6,7,4,shovel,farmer,1,4,0.0
shuffled,p6_s7,6,7,4,shovel,farmer,2,4,0.0
shuffled,p6_s7,6,7,4,shovel,farmer,3,4,0.0
substituted,p6_s7,6,7,4,book,farmer,4,4,0.0
attn_scrambled_samechain,p6_s7,6,7,4,shovel,farmer,4,4,0.0
attn_scrambled_crosschain,p6_s7,6,7,4,shovel,farmer,4,4,0.0
attn_scrambled_sameattr,p6_s7,6,7,4,shovel,farmer,4,4,0.0
real,p8_s7,8,7,4,shovel,farmer,1,1,0.0
shuffled,p8_s7,8,7,4,shovel,farmer,2,1,0.0
shuffled,p8_s7,8,7,4,shovel,farmer,3,1,0.0
shuffled,p8_s7,8,7,4,shovel,farmer,4,1,0.0
substituted,p8_s7,8,7,4,white hat,farmer,1,1,0.0
attn_scrambled_samechain,p8_s7,8,7,4,shovel,farmer,1,1,0.0
attn_scrambled_crosschain,p8_s7,8,7,4,shovel,farmer,1,1,0.0
real,p8_s7,8,7,4,red apron,barista,2,2,0.2587299158377965
shuffled,p8_s7,8,7,4,red apron,barista,1,2,0.0
shuffled,p8_s7,8,7,4,red apron,barista,3,2,0.0047433349581911585
shuffled,p8_s7,8,7,4,red apron,barista,4,2,0.0
substituted,p8_s7,8,7,4,white hat,barista,2,2,0.0
attn_scrambled_samechain,p8_s7,8,7,4,red apron,barista,2,2,0.0018268621815170263
attn_scrambled_crosschain,p8_s7,8,7,4,red apron,barista,2,2,0.04979835622032774
real,p8_s7,8,7,4,yellow helmet,cyclist,3,3,0.0
shuffled,p8_s7,8,7,4,yellow helmet,cyclist,1,3,0.0
shuffled,p8_s7,8,7,4,yellow helmet,cyclist,2,3,0.0
shuffled,p8_s7,8,7,4,yellow helmet,cyclist,4,3,0.0
substituted,p8_s7,8,7,4,book,cyclist,3,3,0.0
attn_scrambled_samechain,p8_s7,8,7,4,yellow helmet,cyclist,3,3,0.0
attn_scrambled_crosschain,p8_s7,8,7,4,yellow helmet,cyclist,3,3,0.0
real,p8_s7,8,7,4,blue gloves,nurse,4,4,0.0018671454219030522
shuffled,p8_s7,8,7,4,blue gloves,nurse,1,4,0.0
shuffled,p8_s7,8,7,4,blue gloves,nurse,2,4,0.0
shuffled,p8_s7,8,7,4,blue gloves,nurse,3,4,0.0
substituted,p8_s7,8,7,4,pan,nurse,4,4,0.0
attn_scrambled_samechain,p8_s7,8,7,4,blue gloves,nurse,4,4,0.005386902080893613
attn_scrambled_crosschain,p8_s7,8,7,4,blue gloves,nurse,4,4,0.0028213560479450825
real,p0_s1234,0,1234,2,red apron,barista,1,1,0.2675120229110755
shuffled,p0_s1234,0,1234,2,red apron,barista,2,1,0.0012490537471612415
substituted,p0_s1234,0,1234,2,blue gloves,barista,1,1,0.0
attn_scrambled_samechain,p0_s1234,0,1234,2,red apron,barista,1,1,0.024174064910493377
attn_scrambled_crosschain,p0_s1234,0,1234,2,red apron,barista,1,1,0.06085868483733832
attn_scrambled_sameattr,p0_s1234,0,1234,2,red apron,barista,1,1,0.19008641829158987
real,p0_s1234,0,1234,2,yellow helmet,cyclist,2,2,0.0
shuffled,p0_s1234,0,1234,2,yellow helmet,cyclist,1,2,0.0
substituted,p0_s1234,0,1234,2,pan,cyclist,2,2,0.0
attn_scrambled_samechain,p0_s1234,0,1234,2,yellow helmet,cyclist,2,2,0.0
attn_scrambled_crosschain,p0_s1234,0,1234,2,yellow helmet,cyclist,2,2,0.0
attn_scrambled_sameattr,p0_s1234,0,1234,2,yellow helmet,cyclist,2,2,0.0
real,p2_s1234,2,1234,2,blue gloves,nurse,1,1,0.21059143312400413
shuffled,p2_s1234,2,1234,2,blue gloves,nurse,2,1,0.0
substituted,p2_s1234,2,1234,2,white hat,nurse,1,1,0.0
attn_scrambled_samechain,p2_s1234,2,1234,2,blue gloves,nurse,1,1,0.12603093232899165
attn_scrambled_crosschain,p2_s1234,2,1234,2,blue gloves,nurse,1,1,0.05184376832366929
attn_scrambled_sameattr,p2_s1234,2,1234,2,blue gloves,nurse,1,1,0.08051265748657285
real,p2_s1234,2,1234,2,dark sunglasses,pilot,2,2,0.0
shuffled,p2_s1234,2,1234,2,dark sunglasses,pilot,1,2,0.0
substituted,p2_s1234,2,1234,2,yellow helmet,pilot,2,2,0.0
attn_scrambled_samechain,p2_s1234,2,1234,2,dark sunglasses,pilot,2,2,0.0
attn_scrambled_crosschain,p2_s1234,2,1234,2,dark sunglasses,pilot,2,2,0.0
attn_scrambled_sameattr,p2_s1234,2,1234,2,dark sunglasses,pilot,2,2,0.0
real,p3_s1234,3,1234,3,red apron,barista,1,1,0.0
shuffled,p3_s1234,3,1234,3,red apron,barista,2,1,0.0
shuffled,p3_s1234,3,1234,3,red apron,barista,3,1,0.0
substituted,p3_s1234,3,1234,3,book,barista,1,1,0.0
attn_scrambled_samechain,p3_s1234,3,1234,3,red apron,barista,1,1,0.0
attn_scrambled_crosschain,p3_s1234,3,1234,3,red apron,barista,1,1,0.0
real,p3_s1234,3,1234,3,yellow helmet,cyclist,2,2,0.0001715658240878417
shuffled,p3_s1234,3,1234,3,yellow helmet,cyclist,1,2,0.0
shuffled,p3_s1234,3,1234,3,yellow helmet,cyclist,3,2,0.0
substituted,p3_s1234,3,1234,3,dark sunglasses,cyclist,2,2,0.0
attn_scrambled_samechain,p3_s1234,3,1234,3,yellow helmet,cyclist,2,2,5.7182067703568164e-05
attn_scrambled_crosschain,p3_s1234,3,1234,3,yellow helmet,cyclist,2,2,0.0
real,p3_s1234,3,1234,3,pan,chef,3,3,0.0
shuffled,p3_s1234,3,1234,3,pan,chef,1,3,0.0
shuffled,p3_s1234,3,1234,3,pan,chef,2,3,0.0
substituted,p3_s1234,3,1234,3,blue gloves,chef,3,3,0.0
attn_scrambled_samechain,p3_s1234,3,1234,3,pan,chef,3,3,0.0
attn_scrambled_crosschain,p3_s1234,3,1234,3,pan,chef,3,3,0.0
real,p4_s1234,4,1234,3,white hat,chef,1,1,0.0
shuffled,p4_s1234,4,1234,3,white hat,chef,2,1,0.0
shuffled,p4_s1234,4,1234,3,white hat,chef,3,1,0.0
substituted,p4_s1234,4,1234,3,dark sunglasses,chef,1,1,0.0
attn_scrambled_samechain,p4_s1234,4,1234,3,white hat,chef,1,1,0.0
attn_scrambled_crosschain,p4_s1234,4,1234,3,white hat,chef,1,1,0.0
attn_scrambled_sameattr,p4_s1234,4,1234,3,white hat,chef,1,1,0.0
real,p4_s1234,4,1234,3,shovel,farmer,2,2,0.0
shuffled,p4_s1234,4,1234,3,shovel,farmer,1,2,0.0
shuffled,p4_s1234,4,1234,3,shovel,farmer,3,2,0.0
substituted,p4_s1234,4,1234,3,book,farmer,2,2,0.0
attn_scrambled_samechain,p4_s1234,4,1234,3,shovel,farmer,2,2,0.0
attn_scrambled_crosschain,p4_s1234,4,1234,3,shovel,farmer,2,2,0.0
attn_scrambled_sameattr,p4_s1234,4,1234,3,shovel,farmer,2,2,0.0
real,p4_s1234,4,1234,3,blue gloves,nurse,3,3,0.0
shuffled,p4_s1234,4,1234,3,blue gloves,nurse,1,3,0.0
shuffled,p4_s1234,4,1234,3,blue gloves,nurse,2,3,0.0
substituted,p4_s1234,4,1234,3,dark sunglasses,nurse,3,3,0.0
attn_scrambled_samechain,p4_s1234,4,1234,3,blue gloves,nurse,3,3,0.0
attn_scrambled_crosschain,p4_s1234,4,1234,3,blue gloves,nurse,3,3,0.0
attn_scrambled_sameattr,p4_s1234,4,1234,3,blue gloves,nurse,3,3,0.0
real,p5_s1234,5,1234,3,dark sunglasses,pilot,1,1,0.0
shuffled,p5_s1234,5,1234,3,dark sunglasses,pilot,2,1,0.0
shuffled,p5_s1234,5,1234,3,dark sunglasses,pilot,3,1,0.0
substituted,p5_s1234,5,1234,3,shovel,pilot,1,1,0.0
attn_scrambled_samechain,p5_s1234,5,1234,3,dark sunglasses,pilot,1,1,0.0
attn_scrambled_crosschain,p5_s1234,5,1234,3,dark sunglasses,pilot,1,1,0.0
attn_scrambled_sameattr,p5_s1234,5,1234,3,dark sunglasses,pilot,1,1,0.0
real,p5_s1234,5,1234,3,book,teacher,2,2,0.0
shuffled,p5_s1234,5,1234,3,book,teacher,1,2,0.0
shuffled,p5_s1234,5,1234,3,book,teacher,3,2,0.0
substituted,p5_s1234,5,1234,3,shovel,teacher,2,2,0.0
attn_scrambled_samechain,p5_s1234,5,1234,3,book,teacher,2,2,0.0
attn_scrambled_crosschain,p5_s1234,5,1234,3,book,teacher,2,2,0.0
attn_scrambled_sameattr,p5_s1234,5,1234,3,book,teacher,2,2,0.0
real,p5_s1234,5,1234,3,red apron,barista,3,3,0.2014271266434431
shuffled,p5_s1234,5,1234,3,red apron,barista,1,3,0.0
shuffled,p5_s1234,5,1234,3,red apron,barista,2,3,0.0
substituted,p5_s1234,5,1234,3,white hat,barista,3,3,0.0
attn_scrambled_samechain,p5_s1234,5,1234,3,red apron,barista,3,3,0.17237787159383738
attn_scrambled_crosschain,p5_s1234,5,1234,3,red apron,barista,3,3,0.03542951221874294
attn_scrambled_sameattr,p5_s1234,5,1234,3,red apron,barista,3,3,0.07172213311948678
real,p6_s1234,6,1234,4,red apron,barista,1,1,0.0
shuffled,p6_s1234,6,1234,4,red apron,barista,2,1,0.0
shuffled,p6_s1234,6,1234,4,red apron,barista,3,1,0.0
shuffled,p6_s1234,6,1234,4,red apron,barista,4,1,0.0
substituted,p6_s1234,6,1234,4,book,barista,1,1,0.0
attn_scrambled_samechain,p6_s1234,6,1234,4,red apron,barista,1,1,0.0
attn_scrambled_crosschain,p6_s1234,6,1234,4,red apron,barista,1,1,0.0
attn_scrambled_sameattr,p6_s1234,6,1234,4,red apron,barista,1,1,0.0
real,p6_s1234,6,1234,4,yellow helmet,cyclist,2,2,0.0
shuffled,p6_s1234,6,1234,4,yellow helmet,cyclist,1,2,0.0
shuffled,p6_s1234,6,1234,4,yellow helmet,cyclist,3,2,0.0
shuffled,p6_s1234,6,1234,4,yellow helmet,cyclist,4,2,0.0
substituted,p6_s1234,6,1234,4,book,cyclist,2,2,0.0
attn_scrambled_samechain,p6_s1234,6,1234,4,yellow helmet,cyclist,2,2,0.0
attn_scrambled_crosschain,p6_s1234,6,1234,4,yellow helmet,cyclist,2,2,0.0
attn_scrambled_sameattr,p6_s1234,6,1234,4,yellow helmet,cyclist,2,2,0.0
real,p6_s1234,6,1234,4,white hat,chef,3,3,0.0
shuffled,p6_s1234,6,1234,4,white hat,chef,1,3,0.0
shuffled,p6_s1234,6,1234,4,white hat,chef,2,3,0.0
shuffled,p6_s1234,6,1234,4,white hat,chef,4,3,0.0
substituted,p6_s1234,6,1234,4,blue gloves,chef,3,3,0.0
attn_scrambled_samechain,p6_s1234,6,1234,4,white hat,chef,3,3,0.0
attn_scrambled_crosschain,p6_s1234,6,1234,4,white hat,chef,3,3,0.0
attn_scrambled_sameattr,p6_s1234,6,1234,4,white hat,chef,3,3,0.0
real,p6_s1234,6,1234,4,shovel,farmer,4,4,0.0
shuffled,p6_s1234,6,1234,4,shovel,farmer,1,4,0.0
shuffled,p6_s1234,6,1234,4,shovel,farmer,2,4,0.0
shuffled,p6_s1234,6,1234,4,shovel,farmer,3,4,0.0
substituted,p6_s1234,6,1234,4,book,farmer,4,4,0.0
attn_scrambled_samechain,p6_s1234,6,1234,4,shovel,farmer,4,4,0.0
attn_scrambled_crosschain,p6_s1234,6,1234,4,shovel,farmer,4,4,0.0
attn_scrambled_sameattr,p6_s1234,6,1234,4,shovel,farmer,4,4,0.0
real,p7_s1234,7,1234,4,blue gloves,nurse,1,1,0.0
shuffled,p7_s1234,7,1234,4,blue gloves,nurse,2,1,0.0
shuffled,p7_s1234,7,1234,4,blue gloves,nurse,3,1,0.0
shuffled,p7_s1234,7,1234,4,blue gloves,nurse,4,1,0.0
substituted,p7_s1234,7,1234,4,red apron,nurse,1,1,0.0
attn_scrambled_samechain,p7_s1234,7,1234,4,blue gloves,nurse,1,1,0.0
attn_scrambled_crosschain,p7_s1234,7,1234,4,blue gloves,nurse,1,1,0.0
attn_scrambled_sameattr,p7_s1234,7,1234,4,blue gloves,nurse,1,1,0.0
real,p7_s1234,7,1234,4,dark sunglasses,pilot,2,2,0.0
shuffled,p7_s1234,7,1234,4,dark sunglasses,pilot,1,2,0.0
shuffled,p7_s1234,7,1234,4,dark sunglasses,pilot,3,2,0.0
shuffled,p7_s1234,7,1234,4,dark sunglasses,pilot,4,2,0.0
substituted,p7_s1234,7,1234,4,yellow helmet,pilot,2,2,0.0
attn_scrambled_samechain,p7_s1234,7,1234,4,dark sunglasses,pilot,2,2,0.0
attn_scrambled_crosschain,p7_s1234,7,1234,4,dark sunglasses,pilot,2,2,0.0
attn_scrambled_sameattr,p7_s1234,7,1234,4,dark sunglasses,pilot,2,2,0.0
real,p7_s1234,7,1234,4,pan,chef,3,3,0.0
shuffled,p7_s1234,7,1234,4,pan,chef,1,3,0.0
shuffled,p7_s1234,7,1234,4,pan,chef,2,3,0.0
shuffled,p7_s1234,7,1234,4,pan,chef,4,3,0.0
substituted,p7_s1234,7,1234,4,yellow helmet,chef,3,3,0.0
attn_scrambled_samechain,p7_s1234,7,1234,4,pan,chef,3,3,0.0
attn_scrambled_crosschain,p7_s1234,7,1234,4,pan,chef,3,3,0.0
